,timestamp,reportingGroup,locationName,value,unit
93,2021-01-04T21:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
94,2021-01-04T22:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
95,2021-01-04T23:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
96,2021-01-05T00:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
97,2021-01-05T01:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
98,2021-01-05T02:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
99,2021-01-05T03:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
100,2021-01-05T04:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
101,2021-01-05T05:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
102,2021-01-05T06:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
103,2021-01-05T07:00:00,Electricity,1000 Hakaniemen kauppahalli,0.1,kWh
104,2021-01-05T08:00:00,Electricity,1000 Hakaniemen kauppahalli,1.3099999999999998,kWh
105,2021-01-05T09:00:00,Electricity,1000 Hakaniemen kauppahalli,2.89,kWh
106,2021-01-05T10:00:00,Electricity,1000 Hakaniemen kauppahalli,3.3,kWh
107,2021-01-05T11:00:00,Electricity,1000 Hakaniemen kauppahalli,3.7299999999999995,kWh
108,2021-01-05T12:00:00,Electricity,1000 Hakaniemen kauppahalli,3.0,kWh
109,2021-01-05T13:00:00,Electricity,1000 Hakaniemen kauppahalli,3.71,kWh
110,2021-01-05T14:00:00,Electricity,1000 Hakaniemen kauppahalli,2.2399999999999998,kWh
111,2021-01-05T15:00:00,Electricity,1000 Hakaniemen kauppahalli,0.12,kWh
112,2021-01-05T16:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
113,2021-01-05T17:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
114,2021-01-05T18:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
115,2021-01-05T19:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
116,2021-01-05T20:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
117,2021-01-05T21:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
118,2021-01-05T22:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
119,2021-01-05T23:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
120,2021-01-06T00:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
121,2021-01-06T01:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
122,2021-01-06T02:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
123,2021-01-06T03:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
124,2021-01-06T04:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
125,2021-01-06T05:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
126,2021-01-06T06:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
127,2021-01-06T07:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
128,2021-01-06T08:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
129,2021-01-06T09:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
130,2021-01-06T10:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
131,2021-01-06T11:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
132,2021-01-06T12:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
133,2021-01-06T13:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
134,2021-01-06T14:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
135,2021-01-06T15:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
136,2021-01-06T16:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
137,2021-01-06T17:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
138,2021-01-06T18:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
139,2021-01-06T19:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
140,2021-01-06T20:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
141,2021-01-06T21:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
142,2021-01-06T22:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
143,2021-01-06T23:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
144,2021-01-07T00:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
145,2021-01-07T01:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
146,2021-01-07T02:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
147,2021-01-07T03:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
148,2021-01-07T04:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
149,2021-01-07T05:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
150,2021-01-07T06:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
151,2021-01-07T07:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
152,2021-01-07T08:00:00,Electricity,1000 Hakaniemen kauppahalli,2.1399999999999997,kWh
153,2021-01-07T09:00:00,Electricity,1000 Hakaniemen kauppahalli,3.5,kWh
154,2021-01-07T10:00:00,Electricity,1000 Hakaniemen kauppahalli,3.42,kWh
155,2021-01-07T11:00:00,Electricity,1000 Hakaniemen kauppahalli,3.5,kWh
156,2021-01-07T12:00:00,Electricity,1000 Hakaniemen kauppahalli,3.51,kWh
157,2021-01-07T13:00:00,Electricity,1000 Hakaniemen kauppahalli,3.5,kWh
158,2021-01-07T14:00:00,Electricity,1000 Hakaniemen kauppahalli,1.67,kWh
159,2021-01-07T15:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
160,2021-01-07T16:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
161,2021-01-07T17:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
162,2021-01-07T18:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
163,2021-01-07T19:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
164,2021-01-07T20:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
165,2021-01-07T21:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
166,2021-01-07T22:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
167,2021-01-07T23:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
168,2021-01-08T00:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
169,2021-01-08T01:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
170,2021-01-08T02:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
171,2021-01-08T03:00:00,Electricity,1000 Hakaniemen kauppahalli,0.060000000000000005,kWh
172,2021-01-08T04:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
173,2021-01-08T05:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
174,2021-01-08T06:00:00,Electricity,1000 Hakaniemen kauppahalli,0.060000000000000005,kWh
